,reviews,ratings,date
811,"I dont like the really scary, high thriller type of rides, so disneyland was actually perfect as the rides were more of an experience than thrill seeking. Such intricate details in to each ride experience. The swamp ride was so much fun and the lad running it was hilarious.",5/5,2 years ago on  Google
812,"Disneyland is still one of the Happiest places on earth.  Highly recommend paying the extra $10 for a MaxPass.  Completely worth it!  This will provide you the ability to get FastPasses through the Disneyland App instead of running all over the park.  Plus, it gives you access to all photos taken by Disneyland of your group while in the park.Hint to make it more enjoyable:  Arrive at the Parking lot first thing.  If the parking lot opens at 7am, arrive at 7am so you can get entrance to the park early on Main Street.Have an enjoyable time!",5/5,4 years ago on  Google
813,"Ok. Let's get this out of the way up front. Save your money and go to Disney world in Orlando. It's much, much, MUCH better than Disneyland.So let's talk about what's great:- The service is simply amazing. The cast members are thoughtful and always eager to help and answer your questions.- the app. Download the Disney app and spend the extra $10 per person on the fastpass access. It gives you the ability to reserve fastpass on your phone and will save you a ton of time. The app also let's to you see real time wait times for each ride and gives you a map of the parkOn to the bad....- crowd sizes. Just absolutely terrible. It always felt like there should be ~1000 people less than they allowed in the park. It was unbearable starting at 1 pm onwards- standby wait times at rides- strollers. So many strollersOther than the marquee rides, there isn't really that much here. The sleeping beauty is really sad looking compared to the Cinderella castle at Disney world.To get the best experience, get to the front gate 30 mins before the park opens, buy your tickets online ahead of time, download the app and reserve the marquee rides early. Try and leave after the parade the 1. Or better yet...save your money and go to Disney world in Orlando",3/5,5 years ago on  Google
814,"You can't not have a good ol' time at Disneyland. There is so much to do there now! And with all the wait times posted, you can plan out your day via the Disneyland park app!THE BIGGEST TIP I HAVE FOR YOU: Get there at opening time and during the week, Tuesday/Wednesday (best months are February & March). You can get all the big rides done before the afternoon rush and you can enjoy the rest of your day while other parents with strollers struggle to find a short line.Plan ahead a couple of days your dining experience so you aren't caught off guard about the reservation waits.Those who play Pokemon Go will be happy to know that at any given time there will always be enough people to do raids with, whether you see them or not.",5/5,2 years ago on  Google
815,"The Walt Disney legacy is alive and well at the original theme park in Anaheim.  We spent one full day at each park, Disneyland and California Adventure.  The rides, the costumed characters, dining and shopping all were integrated into the experience that transports the family into a whole new world!",5/5,3 years ago on  Google
816,"The hamburgers on the food court are all terrible after paying for sandwiches, fries and drink for $65 for 4. The Beef Stew at one of the restaurant is very salty meaning that it is a canned soup. Great fun place for family time anytime. Some full service restaurant requires reservation which is a minus because of price $$$.",3/5,5 months ago on  Google
817,"Had years of enjoyment here. Amazing place. No doubt upper management has changed its park philosophies. I’ve been poorly treated multiple times this trip. From having my sons bean bag taken away at security for being sports equipment, our GoPro handle was confiscated, to being chastised at the food court for buying my child a sprite instead of water. And The food was just gross and for years I’ve looked forward to the great food here. I felt like the streets were not as kept as usual. And many happy faces from the past have been exchanged with grumpy dwarfs. I think I’m done. Spend 1000s for this nonsense. Corporate philosophy of the customer is always right is no longer accepted language here. 🫠😣😒 Happiest place on earth has been changed to….meh",1/5,4 months ago on  Google
818,"Best time I've ever had. I felt like a princess in a fairytale. Plenty of activities and excitement. Short lines. Everything was excellent from the staff, service, characters and attractions. Definitely needed more than two days to see and experience everything.",5/5,3 years ago on  Google
819,Disneyland is a wonderful place to visit. It has do much to do and the Disney themes are beyond someone's imagination . I loved the rides there. Although one single day is not enough to explore the whole place. It needs multiple visits to see the whole park.,5/5,3 years ago on  Google
820,"VERY CROWDEDDoesn't matter which day or time you go, it will always be crowded, shortest wait time for a ride is 20 minutes but you can easily wait 190+ minutes, character meetups are sometimes longer wait times than rides, food is very expensive but they allow outside food.Would not recommend for people with social anxiety issuesFours Stars for somehow still maintaining a great atmosphere and overall the whimsical feeling of magicI'll always love the wonder that is Disneyland but couldn't go regularly because of all the issues with expense and overcrowding :(",4/5,4 years ago on  Google
821,"Beautiful place, lots of rides, lots of things to enjoy, but any souvenirs or food you might want to buy is Super expensive. My rule of thumb is think of what would be a reasonable price, then add $10-20. 🙈Very fun place to be, and fast passes are the best!",4/5,3 years ago on  Google
822,"We love Disneyland! Yes, it's expensive. Yes, it can be crowded. But it doesn't matter to us! If you can plan ahead, use the app, and allow for changes in your schedule you can have a great time.",5/5,3 years ago on  Google
823,"Had an awesome time. We celebrated a birthday. Crowded as expected for a Tuesday  before the holidays, but tolerable. Wait times were between 15 min to 55 min, depending on attraction.  Definitely take advantage of the fast passes. New favorite ride is Guardians of the Galaxy @ DCA. Sorry Space Mountain. A must visit for the holidays! Parking in Katella lot (toy story) is way more convenient. Didn't want to deal w/tram and parking structure. Food bites at California Adventure Festival of Holidays were delish! Tried the Chorizo Queso Fundido, Ham Shank w/pineapple, Shrimp & Grits w/Andouille Sausage, Turkey & Stuffing Tamale, and Pork Belly w/Garlic Rice. Stay late for the water show, parades, and fireworks.",5/5,4 years ago on  Google
824,There were very limited waterslides avaible here which hurt my feels very badly. My kids were not having a good time.,1/5,3 days ago on  Google
825,Simply amazing. And the star Wars section was truly fantastic. Excellent system for queuing using an app.,5/5,3 weeks ago on  Google
826,So disappointed. Maybe we just got unlucky today but having waited a lifetime to get here so sad.No characters walking around greeting you. Rides not working. No one checking in on you when wearing badge.Universal studios a better optionUniversal studio,1/5,3 months ago on  Google
827,"I mean this is Disneyland! But it’s always busy here, like really busy. I’d recommend coming during one of their week “off peak days”. Wait times can be long so getting max pass is a good idea. Get here as early as possible and stay as long as possible. Watch for the odd day they close early, as it will cost the same and you miss all the good stuff! That happened to me. Bring your own lunch as Disney food is expensive!!!",4/5,5 years ago on  Google
828,"Very beautiful place at all times of the year. One thing missing that would make me feel more welcoming. Would be that they had staff interacting with guest asking them how their visit is going, If all their needs are met. Every time I visit Disneyland I question the situation and get curious on why 50% of the staff is friendly and the other 50% Looks like they just hate working there. 🤔 It should be a higher percentage on Happy employees but nope.",5/5,3 years ago on  Google
829,"Love this place. It costs an arm and a leg, but you get what you pay for. The cast members are typically always friendly and the rides are well kept in the immaculate park. Happiest place on earth for a reason!",5/5,5 years ago on  Google
830,"Our family recently enjoyed a trip to Disneyland.  Our favorite rides included Big Thunder Mountain Railroad, Buzz Lightyear Astro Blasters, Haunted Mansion Holiday (remake of the Haunted Mansion with Jack Skellington as ""Sandy Claws""), Hyperspace Mountain (a remake of Space Mountain with a Star Wars theme), Indiana Jones Adventure, Matterhorn Bobsleds (would not recommend if you have back issues), Millennium Falcon: Smugglers Run), Mr. Toad's Wild Ride, Pirates of the Caribbean, Snow White's Scary Adventure, and Star Tours - The Adventures Continue.The park was themed for Halloween, and following the evening show, Fantasmic, they had a special show, Halloween Screams. The crowd levels for the two days we were at Disneyland were fairly robust. Having the Max Pass, our strategy was to endure lines in the morning, and then load up our afternoon with Fast Passes. Having the app to pull fast passes is so much better than the past where you had to haul it across the parks to pull the passes manually.Another strategy we used was riding single rider on some of the more popular rides. Our kids are older so it worked for us. For example, the wait on Hyperspace Mountain was 70 minutes, and the Single Rider wait was only 10 minutes. On our second day at Disneyland, we were able to pick up several fast passes that were released throughout the day, and we were able to hit 11 rides in about 3 hours.Millenium Falcon: Smugglers Run did not have fast passes, and you have to endure the line. My recommendation if it is 60 minutes or less, go! The ride was good, and it was not good enough to sit in the line again. The cue for the line seems endless, and it is deceptive as it winds in and out of the building. This area of the park is themed really well. It feels like you're in a Star Wars set. Storm Troopers paraded around the lines telling people to move along.With the change over of the Haunted Mansion, the lines for this ride are long. Get the fast pass. With the proximity of this ride to Pirates of the Caribbean, it made that line long as well (no fast pass for Pirates).The Max Pass did provide an advantage with pulling additional Fast Passes, and it also got you free photos from the photographers throughout the park. With the Max Pass you could also link ride photos to your account for free. While the photographers were not great, I did not have to carry my camera around the park.If I can say there is any downfall to the park, it is the food. One of the days we planned our lunch at Downtown Disney at Black Tap. Black Tap had great burgers and shakes. The two meals we had in the park were at Hungry Bear Restaurant and Alien Pizza Planet. We ate at Hungry Bear Restaurant because you could also get preferred seating for Fantasmic (which means you get to sit on the concrete while everyone else stands, and the view of the stage is probably the best - the other benefit is you don't have to save your spot 2 hours before the event giving you more time to enjoy the park). The food at Hungry Bear Restaurant was horrendous. My wife and I got the barbecue chicken that you could not even cut with a knife. My kids barely touched their food. Very disappointing when you pay over $100 for a meal for four. Alien Pizza Planet located next to Hyperspace Mountain was not too bad; not great. My family does enjoy getting a Dole Whip as a snack at the Tiki Juice Bar.We did not stay on site for this visit. We stayed at the Marriott Newport Coast Villas which was about 30 minutes from the park. We parked in Disney parking which was $25 a day, and they had a steady stream of buses to get you to and from the park. We stayed off site because we wanted a view of the Pacific Ocean. BTW - Checkout my review for Marriott Newport Coast Villas. It is definitely a great place to stay.Overall we enjoyed the experience and created family memories. I would highly recommend a trip to Disneyland. I am sure we will go back someday.",5/5,3 years ago on  Google
831,"Definitely the most magical place on earth!Come prepared.I’d recommend:Stroller for any child under 8Stroller fansDiaper bag with snacks/water/crystal light packets/Gatorade/lunchablesPoncho for water ridesChange of clothesMake sure if your child is cranky (& you are too) to stop for shade, hydration (water, water, water 💧), and food. Don’t try to fit in too much in one day and make sure you and the kids have PLENTY of sleep, food, and did I mention WATER?? Not sugar, fried food, and soda (that’ll give you upset stomach and make you sluggish).Get an AirBnB nearby WITHOUT stairs (you’ll hate stairs after lugging your stroller and family around).Download the Disney app and get  your tickets downloaded on there and set up fast passes as soon as they scan you in! These go fast and you can hit up rides with low wait times (try Fantasyland) while you wait for your FastPass.Goofy’s Kitchen is worth letting your kids interact with the characters and get pics so you don’t have to wait in line forever when they see them in the park. Food isn’t anything to write home about, but it’s decent and there’s a good variety and a great way to fill up tummies to start the day.Which reminds me—make RESERVATIONS for EVERYTHING you want to do. Stuff books up fast and if you fail to plan you’ll be miserable.All restaurants (& Starbucks) give you free ice water in a cup, but lines are long—PLEASE have your group hydrate!If you buy a balloon 🎈have your child play balloon fairy on the last day and pick a child to give it away to (after asking their parents first of course).Go for comfort for you and the kids over cutesy. You can still get matching shirts on Etsy or at Walmart, but hair pulled back and sneakers 👟 for everyone is a must. And break out that fanny pack!",5/5,3 years ago on  Google
832,"recognize that if you're going to disney, that you have to put blinders on when it comes to cost and not think about how much you're spending.  genie pass wasn't that great, it would give you availability hours for after you request it, and so it forces you to stay the day (we tend to go early in am, leave for afternoon and then return at night) so genie pass was pretty much useless for us.  note that rides also broke down FREQUENTLY,  like almost every ride we went on was ""down"" at some point daily. so then you're paying $20 pp for lightening lane, and you'd still have to wait 30 min in line (this is for a weekday visit, last week of august). it's not on par with disneyworld if you're looking for thrilling amusement park rides.",3/5,4 months ago on  Google
833,"Disneyworld, in my view, is definitely better, but Disneyland is still quite an amazing park!  We went on a weekday in the fall and despite school being in session, it was still pretty busy!  I highly suggest doing the fastness system, it's FREE.",4/5,3 years ago on  Google
834,"Christmas season at Disneyland.Once inside Disneyland, it is still a magical place.  The half time of trash on the ground is probably below 15 seconds, the staff is happy, helpful,  and wonderfully professional.  Riders are always in top shape, with incredible detail and care taken on the presentation. And seeing snow fall on Mainstreet right after an incredible fireworks show pushed the feel from magical to miraculous. (If you've never seen that,  you need to add it to you bucket list,  especially if you are from a place that never gets snow)But getting inside is being made worse and worse by the world outside.  Parking is so far you have to take a shuffle bus,  two security stations,  invasive bag check,  metal detector,  and they take the photo of everyone coming in (which feels more like they are taking your mugshot than preparing a greenscreen shot of you with Micky).I'm sure Disney will find a solution to this, but for now, it did subtract from the experience,  so 4 stars.",4/5,4 years ago on  Google
835,Went to visit the happiest place on earth after about 9 years. Much has changed for the better I had a great time. Definitely must check out if you are in California,5/5,3 months ago on  Google
836,"It is an awsome place with actoin, adventure, and thrill rides. Great things to see and do for people of all ages from little toddlers all the way up to old people. Plenty of family fun awaits you in this truly magical kingdom!",5/5,3 years ago on  Google
837,"Huge disappointment,  park allows way to much people to enter, lines are very long and it's very crowded. Tickets are expensive and you don't get to do half the rides due to the lines being so long. And everything is overpriced.Disney world in Florida is way better.Also sent a mail to them about an issue and they have not responded, it's been a week.",2/5,4 months ago on  Google
838,"It's just magic , great service, amazing adventures, everything is beautiful, clean.We enjoyed a lot !!!",5/5,a month ago on  Google
839,"I'm really disappointed with the many changes to Disney parks. The staff are grumpy. The queue management is less efficient than it used to be. The upcharges are increasing significantly. The base prices have increased as D is committed to pricing out their guests to reduce crowds. And, the rides experience technical difficulties (i.e. closures) so frequently I found myself asking what was actually still open.I've loved Disney for so long and was hoping the pilgrimage to their holy land might salvage my wavering adoration. It didn't.Lamentably,  D has lost another fan (or 6). This will be the last time we take our family to any of the parks.Get your act together D. ""Remember who you are """,1/5,3 months ago on  Google
840,Always fun. Its Disneyland. Prices on food is not crazy expensive ride are always fun but even just being there is great.I haven't been in over 20 years was a nostalgic feeling really enjoyed it.,5/5,3 years ago on  Google
841,"Umm... Ya Disney is awesome. Don't expect to be the only ones in the park, but it's worth it to have a great time sharing the fun and sun with a million other Mickey maniacs!",5/5,a year ago on  Google
842,They obviously work hard to give you a magical experience. My one suggestion is that they install more water fill stations. Specifically the water bottle style fillers. The drinking fountain style seems like a recipe for germs.,4/5,3 months ago on  Google
843,"Happiest place on earth! Disney is ""where dreams come true"". My family's first time here and we loved it. We went to Magic Kingdom and it was exciting. Truly a magical experience, as they say, especially during Christmas!!!",5/5,5 years ago on  Google
844,This place brings back so many memories from my childhood and it never gets old. I always enjoy every time I go but because of how much admission costs it's nowhere often as I used to go & would like to go. It's because of the high cost I only have it 4 stars.,4/5,3 years ago on  Google
845,"Always a fun time at Disneyland! Wear comfortable shoes and get Fastpass tickets early if you want to get on your favourite ride by lunch time. Our favourite rides are Thunder mountain, Indiana Jones, star tours, and pirates of the Caribbean.",5/5,5 years ago on  Google
846,"You just have to be okay with crowds.If you can be okay with “hurry up and wait” all day, then you can enjoy the shuttles, the rides, the restaurants, the mascots, and the fireworks.",5/5,4 years ago on  Google
847,We have a Fun Day!,5/5,3 months ago on  Google
848,"A fun place to forget ones woes for the day and an amusement park for your inner child! No matter how many times the ticket prices go up, it doesn't defer people from going.The food is good, the entertainment offered is wonderful, the rides are fun!!The new Pixarfest Festival and Parade is colorful and lively. The firework show is awesome, main street comes alive!!",5/5,4 years ago on  Google
849,"Definitely can’t go wrong with this place. The lines are a bit long, though. The food is amazing, I’d recommend getting either getting corn dogs or going to either Paradise Garden Grill or Boardwalk Pizza and Grill. The Boardwalk Pizza and Grill has a viewing area from which you can watch the parade go by up close.",5/5,3 years ago on  Google
850,"Horrible Disney experience! Went in a Tuesday and still lines where long. Rides kept breaking down and marked as temporarily closed. One of the best places Toontown was also closed. There aren’t many places to sit down and relax unless you eat at a restaurant. Everything is overpriced (bubbles $30) Employees are rude. We had arrived early to get a good spot for the parade and sit down, when a rude worker passed by and started yelling “everybody must be standing up!” You kidding me, after a long day in the Sun families are exhausted. They don’t even offer roof/shadow and sprinklers while waiting in line. Disneyland has lost its magic and it has become The most Unhappiest place on earth.",1/5,4 months ago on  Google
851,"Truly is the happiest place on earth! I normally take a lot more photos but I was too happily distracted by all the beauty around me. Children with excitement and admiration for the cast members. Great job all the way around by each and every cast member too, they're all polite, helpful and friendly; along with detailed in keeping in character, not just in person but their uniforms and speeches. I really loved watching the older couples enjoy the park too. #lifegoals #love",5/5,4 years ago on  Google
852,"Unfortunately since covid started, you have to make a reservation for the park way ahead of time.  So, I never actually got to go into Disney Land.  We were turned away at the ticket booth!  Couldn't believe this since the parking lot was definitely not full and it was a weekday.  Downtown Disney was not even crowded.",2/5,3 months ago on  Google
853,"They have done an amazing job keeping everything there looking brand new! All of the employees go above and beyond to help you out with whatever you need. Such a clean, fun, pleasant place to go! The little Star Wars show where the kids get to have the lightsaber battles is so cool. Our son is obsessed with Star Wars and this was the highlight of his day 💖 Also, they have some mighty delicious restaurants all over the park and those frozen chocolate covered bananas really help fill you up and cool you down. I wished I could have bought a whole bunch of them and brought them home with us. The nightly firework show is an absolute must!",5/5,4 years ago on  Google
854,"Disney has impressed me once again.  I am so pleased with the friendly, experienced staff and the well maintained facilities.  We encountered so many staff members who were willing to take the time to help us and go the extra mile.  Yes Disney is pricy and the park gets crowded but Disney has updated it's technology to accommodate.  I can't recommend the FastPass with MaxPass on your mobile device enough!  The extra money is worth cutting your wait times, getting professional pictures, and activating fast passes on your phone instead of running to a kiosk.",5/5,4 years ago on  Google
855,"I had great time visiting Disneyland Park. There are rides and entertainment for all ages. Staff is extremely friendly, polite and professional always catering for customers.My biggest reasons for giving 4 stars are as follows:1. There are no power outlets to recharge your mobile devices. Yes, they will sell you battery pack for $30 US that you can swap at designated areas throughout the park, bit it is very hard to find conveniently located power outlet.2. Be prepared to pay $100s per day for food for a family of 4+.3. Food size is significantly smaller for the price visitors pay.4. Not enough benches covered by shade outside food establishments for the number of visitors.In the end, my post is not to troll Disney, just pointing out what I have observed during my stay. I am sure I will come again, just better prepared next time.",4/5,3 years ago on  Google
856,Had major issues using the genie app. A waste of time and money. Don't come here people who enjoy this are either Disney adults or people with kids. Either way I could think of at least ten more enjoyable things then this place.,1/5,3 months ago on  Google
857,"Employees are always friendly and lines were quite quick today. Plan out your routes and definitely visit guardians, toy story, Indiana, star wars, cars land, and pirates! Aside from these main attractions, everything in between are just childhood amazingness. If you do not mind sitting separately,  ask for single riders line to get ahead of the line. While you are exploring, swing by the carts for amazing churros or a sweet clam chowder bowl at New Orleans.",5/5,3 years ago on  Google
858,"Disneyland Park Anaheim was good fun. Although this is offpeak season still it was crowded , i wonder how it looks in peak season. I would high recommend to study the website and chalkout the event happening as i went to wednesday and found that there is no parade, other major activities and shows are only for weekends etc. Management should build some quite rooms and multifaith prayer places as well to facilitate visitors. Food stalls also had limited options.",3/5,2 years ago on  Google
859,Love love love Disneyland. It's always clean and tidy. Cast members are very friendly and polite. Definitely recommend getting an annual pass if you will visit more than once a year.,5/5,2 years ago on  Google
860,"The amount of work the cast members put in every single day to ensure the guests have a great time is simply mind boggling. We're here right after Christmas, one of their busiest time of the year, and our trip has been amazing. My kids are building memories that will last them forever and I get to be a kid again for a few days. When you see a cast member give them a compliment and some thanks. They go to great lengths to make our vacations fun, and deserve some gratitude.",5/5,4 years ago on  Google
861,Been a visitor to the parks for years and have had a pass for that entire period but I think I’m done with Disney until there’s a change in leadership. The parks just don’t feel the same anymore and it just seems like they’re trying to siphon as much money out of their customers as physically possible when they’re already the most expensive theme park in the area. Disney used to pride itself on its premiums quality and treatment of guests but that’s no longer the case.,1/5,4 months ago on  Google
862,"Truly magical place! lots to see, lots to do, a great place for family vacation! Lineups are huge for some the rides during busy summer season, so be prepared to spend hours just in the lineup.",5/5,4 years ago on  Google
863,"Love the happiest place on earth!! I'm not 20 anymore but not 70 yet, so I suggest the following;Get to California adventure side 1st, as this closes before Disneyland. Incredicoaster is so much fun... it goes upside down, but it's not too fast, but it does drop down a few times.The next to do is Guardians of the Galaxy ° such a fun ride... but drops the heck outta you!!And of course do not forget about legendary Space Mountain!!!",5/5,4 years ago on  Google
864,We took 16 family members from 4 onto to 66 and we LOVED its highly suggest MAX PASS.You can ever order food and pick it up with MAX PASS instead of waiting in very long lines!,5/5,3 years ago on  Google
865,"The park was, as expected, fantastic. Star Wars Galaxy's Edge is amazingly detailed and immersive. And the lines were manageable everywhere we went.",5/5,3 years ago on  Google
866,mickey mouse beat up my child and body slammed him. he did my job for me unbelievable. Only I should do that. also goofy started throwing it back for my grandma. absolutely hate universal studios.,1/5,a week ago on  Google
867,"Sorry when you are raised going to Disney World, this park has some great features but it can only get 4 stars.  . That being said I love your Pirate ride so much better and always say im going to eat lunch at that waterfront cafe and never quite get to do it, also you have some kiosk items that you don't find at Disney World like the bacon wrapped asparagus is oh my word worth a ticket to get into the park, and your Dole whips, also your Splash Mountain ride seems longer. And it is fun doing tea cups in a grove of beautiful trees with happy lanterns.",4/5,3 years ago on  Google
868,"Magic, a lot of things to try. Needs at least  two days just for Disney land and another day for California adventure. Now lines are big at least 20 mn for Indiana Jones is roughly 1 hour to 2 hours line. I suggest you to go in the line when there are some event during the day like parade or firework because people goes to see the event and lines are literally reduced ;-) Indiana Jones, Autopia or submarine don't go during between 10:00 am and 12:00 pm or 4:00 pm to 6:00 pm it's just waste of time.I didn't put 5 stars because I think there's too many shops, probably more than attractions.Now without any doubt it's worthy, as I said it's magic, it's dream for every one. Take at least 3 days pass or more if you can afford.",4/5,4 years ago on  Google
869,"Disneyland is such a magical place to visit. I have had the privilege of visiting with our children and as a grownup kid with my girlfriends. And have been thrilled by both experiences,  it really is for all ages!",5/5,4 years ago on  Google
870,"5 stars because it's Disneyland.  But Walt would NOT approve of sooooo many things.  Still, in the midst of it all, Disney magic is there.  Hopes, dreams, fantasy stories come to life!  And... Darth Vader and the Avengers.  *sigh*",5/5,2 months ago on  Google
871,"When my wife booked this at a cost of $107 per person (off peak 1 day rate) for 6 of us, I’ll be honest, I didn’t want to go...but my wife being my wife, we all went and I’ll be totally honest it fulfilled all of my senses from head to toe. From security to the walk into the park, I was already hooked. We, well my wife had chosen the fast pass and photo pass (they both come as 1 option called the max pass) which is an extra $10 per person. This was a godsend as she used her app all day with the fast pass which allowed us quick boarding on the rides, we knew a time which we had to be at the ride and it was never longer than 5 minutes to get on (most normal ride queues were around 40 minutes today). You can only use 1 ride fast pass at a time, but as you can only go on 1 ride at a time, it makes sense. There were professional photographers all over the park and all the pics they take download onto the app on your phone (ours are yet to show, but can take up to 24 hours). All rides allowed you to take your bags with you and I could even use my GoPro for on-ride footage!Food and drink in the park is expensive. You can ask for a cup of iced water for free...ask any cast member if you’re unsure who or where to go for this. You can also ask for free badges at city hall, they say first time etc. Pins are everywhere, I’ll guarantee you’ll buy at least 1! My kids wanted every piece of tat available...$25 for a bubble blower, in the UK you can get these in the pound shop! But as it was Disney themed, it carried the Disney price...but I’m not moaning about it as I knew the price before I bought it! Please visit this park and let all yours and your kids dreams come true...from the numerous parades, rides, shops to the fireworks at the end, you will see that the magic is real and you’ll leave wanting more and leave with a friend in Mickey",5/5,4 years ago on  Google
872,"Probably one of the best experiences I had. I’ve been to Disney world but Disneyland is just a emotional experience. I recommend you to stay for the fireworks show, try to be there at 8:00 because the best place to watch the show is behind the Walt Disney monument.",5/5,4 years ago on  Google
873,"I give Disneyland park three stars because the lack of knowledge when you're looking for characters; the cast members don't know what time or where the characters are supposed to be. Then they have the same merchandise as WDW so there's no variety of shopping. I wish they would upgrade to using magic bands now. Also, there were so many thing down for refurbishment. I also don't like that the park is getting the same new attractions as WDW too. Example Star Wars Galaxy Edge, Mickey and Minnie Runaway Railroad, Midway Mania, but there are some attractions they have that WDW doesn't. Which is good for variety.",3/5,2 years ago on  Google
874,Disneyland is one of my absolute favorite places to visit on vacation. Ive never had a bad experience there even when there have been larges crowds and long wait times. They have done a good job of updating things and creating ways to pass time while waiting in lines making it much more enjoyable. The holiday decorations are always fantastic and its fun trying to see whats changed from year to year.,5/5,4 years ago on  Google
875,Amazing. Wish i could give a million stars. This place has so much to offer for adults and children. Obviously food and drinks and merchandise are over priced in the park. But this park has so much to do. Highly recommend going in October through November to beat the heat.,5/5,4 years ago on  Google
876,Happiest place on earth is no lie. It is quite expensive but every time I go I feel that I spent my money well and I am always satisfied. I also feel that by making the park expensive it keeps it nice. The workers are always so kind and they always seem happy to be there. I asked a one of the churro stand workers if he liked his job and he told me he loved it because he got to be around only the happiest people in the happiest place all day. I loved that! This place seriously is magical and if you think otherwise there’s enough people in the park everyday don’t waste space and don’t come! California adventure is also a must. Spend the extra few bucks and buy the park hopper pass you will not be disappointed. Make sure to get a fast pass first thing in the morning for either Indiana Jones or Pirates of three Caribbean! Those two rides are for sure the best but really every ride is fantastic and the entire place is amazing. I love love love Disneyland!,5/5,3 years ago on  Google
877,"Great place to visit. Very impressive. The new Star Wars area has been done very well. It is expensive and the crowds can get crazy, but it's still very much worth a visit.",5/5,3 years ago on  Google
878,"They could literally charge $1500 a day and I would still argue it’s worth the money. If it’s not your thing nothing is gonna change your opinion but for the rest of us, this is the happiest place on earth",5/5,2 years ago on  Google
879,"Horrible experience. Wasted my time and my money. Wouldn't let us in the park or refund my parking after we were turned down. I would have given it 0 stars but it wasn't an option. The supervisors were no help at all, working from home and they can't do anything. Lousy supervisors. Terrible service. What a joke.",1/5,3 months ago on  Google
880,This was my first time to Disneyland. I had the worst experience ever in my whole lifetime at Disneyland. We will not be returning anytime soon due to our experience. The kids were crying almost the whole time and it's supposed to be the happiest place on Earth not!! We were not able to go on to space mountain due to it shutting down at our reservation time. When we finally were able to get our reservation which was the earliest that we were able to get for space mountain. Find out that it was closed that we waited all day for! We were all the way on other side of the park. They need to have an update on their app stating when rides are down so people don't waste their time rushing to the ride. We were only able to ride 4 kiddy rides all day. The kids didn't even want to go back for day 2 they were so upset but we convinced them. It was much better than the first day.,1/5,6 months ago on  Google
881,"California Adventure!! We went on President's day, lines were long.. Each line was over an hour. The fast pass helped with the waiting time.We ate Chinese food, it wasn't too pricey. Roughly $13 per plate. We also got a turkey leg for $14.. my daughter loved the turkey leg by the way 😊We went to the Frozen musical.. it was amazing!! Great actors/actresses, fun signing. Overall just great experience!!The park hours were from 9am-10pm. Regularl parking was $25, preferred parking was $40 (not worth it! Preferred was only a few feet away from regular parking)",5/5,3 years ago on  Google
882,"The park layout is excellent, it's like several worlds joined by portals.Maintenance is well hidden by temporary facades, and cleaning of the grounds is ongoing through the day. Despite massive traffic, there's hardly any trash.Food prices are obsenely high, par for any park.The Indiana Jones and Haunted Mansion experiences are very well executed, lots of little details that go far above and beyond the competition.",4/5,3 years ago on  Google
883,"Disneyland is the gold standard for theme parks. I came on a Sunday - big mistake! The park was packed and every ride required an hour + of wait time. It was hot af too 🥵 service at Disneyland is stellar per usual. The park is full of employees so you never feel like you won't be helped. The park is also expensive. I suggest packing a bag full or water, snacks, food, and other necessities because the park will run you the deed to your house. It was festively decorated in Halloween decor and it was fabulous. Disney spends a lot on production value. The classic rides are all great. Moreso, they've been renovated so lines move quicker and rides are smoother. I personally prefer the luster of California Adventure.",4/5,3 years ago on  Google
884,"Nice place to go and cool down, plus it was updated since I last went to the ride",5/5,4 years ago on  Google
885,Was a bit of a let down to be honest. Rides are average. Overall it was good but expensive. The queing was the worst part 60 minutes to get on a ride. Was waiting for the pirates of the Caribbean it said 50 mins then suddenly they opened another que and was in in less than 20 ???? So what's with that!,3/5,3 years ago on  Google
886,"Happiest place on earth!! With the crowds, long lines, and screaming kids you'll never forget your experience. Aside from that it really is a full place and it will take you at least a day per theme area to fully appreciate each one!",5/5,4 years ago on  Google
887,"HAPPIEST PLACE ON EARTH!! After having been to Disney World a couple times, I didn't think Disney Land would be worth the cost, but being a Disney girl and absolute Star Was fanatic, I had to go while I was nearby for work. It was amazing! Galaxy's Edge was by far my favorite thing ever, and building a Droid experience was fantastic. We were able to hit both parks in one day with fast passes and linked tickets, but if we could have gotten two full days, it would have been even more enjoyable. But after 18 hours on our feet and 34k steps, we left feeling dead but ecstatic. Definitely take time in Galaxy's Edge (with A VERY juiced up battery pack) in the Disney App, get a fast pass for Guardians of the Galaxy ride, and maybe avoid the Indians Jones ride? It was a long line and I felt sick the rest of the day (and I have a very strong stomach for rides). So so so much fun.",5/5,2 years ago on  Google
888,must see spot in Southern California,5/5,5 months ago on  Google
889,"A magical place. If you’re planning a visit try to go when it’s not peak season or peak holidays and if you do visit during peak times an accordingly. You’ll want multiple days and Fastpass is essential. Rides like Pirates of the Caribbean, Haunted Mansion, Raiders of the Lost Ark etc...have longer lines as the day progresses.Bring your own back up phone charger and lots of water and snacks.We had a magical time but it was a challenge standing in lines and switching children etc...",4/5,5 years ago on  Google
